J11, 8.5, ZXXX4, 08:00, 11:05, local, 0
B29, 6.5, ZXXX3, 09:36, 12:05, local, 0
Y30, 3.5, ZXXX1, 09:36, 13:10, local, 0
J31, 4.5, ZXXX5, 09:36, 13:10, local, 0
B32, 2.5, ZXXX1, 09:36, 13:15, local, 0
Y33, 6.5, ZXXX4, 09:36, 13:05, local, 0
Y34, 2.5, ZXXX1, 09:36, 13:05, local, 0
B35, 3.5, ZXXX1, 09:36, 13:15, local, 1
Y36, 6.0, ZXXX2, 11:11, 13:25, local, 0
J37, 6.0, ZXXX2, 11:11, 13:00, local, 0
B38, 8.5, ZXXX4, 11:11, 13:35, local, 0
J39, 4.5, ZXXX5, 11:11, 13:40, local, 0
J40, 10.5, ZXXX3, 11:11, 13:00, local, 0
Y41, 6.5, ZXXX3, 11:11, 13:05, local, 0
Y42, 3.5, ZXXX1, 11:11, 13:11, local, 0
J43, 4.5, ZXXX5, 11:11, 13:11, local, 0
B44, 2.5, ZXXX1, 11:11, 13:15, local, 0
J45, 6.5, ZXXX4, 11:11, 13:05, local, 0
Y46, 2.5, ZXXX1, 11:11, 16:05, local, 0
B47, 3.5, ZXXX1, 11:11, 16:15, local, 1
J48, 6.0, ZXXX2, 12:23, 16:25, local, 0
J49, 6.0, ZXXX2, 12:23, 16:00, local, 0
J50, 8.5, ZXXX4, 12:23, 16:23, local, 0
B51, 4.5, ZXXX5, 12:23, 16:40, local, 0
J52, 10.5, ZXXX3, 12:23, 16:00, local, 0
Y53, 6.5, ZXXX3, 12:23, 16:05, local, 0
B54, 3.5, ZXXX1, 12:23, 16:10, local, 0
J55, 4.5, ZXXX5, 12:23, 16:10, local, 0
B56, 2.5, ZXXX1, 12:23, 16:15, local, 0
Y57, 6.5, ZXXX4, 12:23, 16:05, local, 0
Y58, 2.5, ZXXX1, 12:23, 16:05, local, 0
J59, 3.5, ZXXX1, 12:23, 16:15, local, 1
J60, 6.0, ZXXX2, 12:46, 16:25, local, 0
J61, 6.0, ZXXX2, 12:46, 16:00, local, 0
Y62, 8.5, ZXXX4, 12:46, 16:35, local, 0
B63, 4.5, ZXXX5, 12:46, 16:40, local, 0
B64, 10.5, ZXXX3, 12:46, 16:00, local, 0
Y65, 6.5, ZXXX3, 12:46, 16:05, local, 0
Y66, 3.5, ZXXX1, 12:46, 16:12, local, 0
J67, 4.5, ZXXX5, 12:46, 16:12, local, 0
B68, 2.5, ZXXX1, 12:46, 16:15, local, 0
J69, 6.5, ZXXX4, 12:46, 16:05, local, 0
Y70, 2.5, ZXXX1, 12:46, 16:05, local, 0
J71, 3.5, ZXXX1, 12:46, 16:15, local, 1
J60, 6.0, ZXXX2, 13:02, 16:25, local, 0
J61, 6.0, ZXXX2, 13:02, 16:00, local, 0
B62, 8.5, ZXXX4, 13:02, 16:35, local, 0
B63, 4.5, ZXXX5, 13:02, 16:40, local, 0
J64, 10.5, ZXXX3, 13:02, 16:00, local, 0
B65, 6.5, ZXXX3, 13:02, 16:05, local, 0
Y66, 3.5, ZXXX1, 13:02, 16:10, local, 0
Y67, 4.5, ZXXX5, 13:02, 16:10, local, 0
J68, 2.5, ZXXX1, 13:02, 16:15, local, 0
B69, 6.5, ZXXX4, 13:02, 16:05, local, 0
Y70, 2.5, ZXXX1, 13:02, 16:05, local, 0
J71, 3.5, ZXXX1, 13:02, 16:15, local, 1
J60, 6.0, ZXXX2, 13:34, 16:25, local, 0
Y61, 6.0, ZXXX2, 13:34, 16:00, local, 0
J62, 8.5, ZXXX4, 13:34, 16:35, local, 0
B63, 4.5, ZXXX5, 13:34, 16:40, local, 0
Y64, 10.5, ZXXX3, 13:34, 16:00, local, 0
Y65, 6.5, ZXXX3, 13:34, 16:05, local, 0
J66, 3.5, ZXXX1, 13:34, 16:10, local, 0
B67, 4.5, ZXXX5, 13:34, 16:10, local, 0
B68, 2.5, ZXXX1, 13:34, 16:15, local, 0
J69, 6.5, ZXXX4, 13:34, 16:05, local, 0
Y70, 2.5, ZXXX1, 13:34, 16:05, local, 0
J71, 3.5, ZXXX1, 13:34, 16:15, local, 1
J60, 6.0, ZXXX2, 12:31, 16:25, local, 0
Y61, 6.0, ZXXX2, 12:31, 16:00, local, 0
B62, 8.5, ZXXX4, 12:31, 16:31, local, 0
Y63, 4.5, ZXXX5, 12:31, 16:40, local, 0
J64, 10.5, ZXXX3, 12:31, 16:00, local, 0
J65, 6.5, ZXXX3, 12:31, 16:05, local, 0
Y66, 3.5, ZXXX1, 12:31, 16:10, local, 0
Y67, 4.5, ZXXX5, 12:31, 16:10, local, 0
Y68, 2.5, ZXXX1, 12:31, 16:15, local, 0
J69, 6.5, ZXXX4, 12:31, 16:05, local, 0
J70, 2.5, ZXXX1, 12:31, 16:05, local, 0
Y71, 3.5, ZXXX1, 12:31, 16:15, local, 1
Y60, 6.0, ZXXX2, 12:35, 16:25, local, 0
Y61, 6.0, ZXXX2, 12:35, 16:00, local, 0
J62, 8.5, ZXXX4, 12:35, 16:35, local, 0
Y63, 4.5, ZXXX5, 12:35, 16:40, local, 0
J64, 10.5, ZXXX3, 12:35, 16:00, local, 0
B65, 6.5, ZXXX3, 12:35, 16:05, local, 0
B66, 3.5, ZXXX1, 12:35, 16:10, local, 0
Y67, 4.5, ZXXX5, 12:35, 16:10, local, 0
J68, 2.5, ZXXX1, 12:35, 16:15, local, 0
B69, 6.5, ZXXX4, 12:35, 16:05, local, 0
J70, 2.5, ZXXX1, 12:35, 16:05, local, 0
B71, 3.5, ZXXX1, 12:35, 16:15, local, 1
Y60, 6.0, ZXXX2, 13:26, 16:25, local, 0
Y61, 6.0, ZXXX2, 13:26, 16:00, local, 0
Y62, 8.5, ZXXX4, 13:26, 16:35, local, 0
B63, 4.5, ZXXX5, 13:26, 16:40, local, 0
B64, 10.5, ZXXX3, 13:26, 16:00, local, 0
J65, 6.5, ZXXX3, 13:26, 16:05, local, 0
J66, 3.5, ZXXX1, 13:26, 16:10, local, 0
Y67, 4.5, ZXXX5, 13:26, 16:10, local, 0
B68, 2.5, ZXXX1, 13:26, 16:15, local, 0
J69, 6.5, ZXXX4, 13:26, 16:05, local, 0
Y70, 2.5, ZXXX1, 13:26, 16:05, local, 0
J71, 3.5, ZXXX1, 13:26, 16:15, local, 1
Y60, 6.0, ZXXX2, 13:47, 16:25, local, 0
Y61, 6.0, ZXXX2, 13:47, 16:00, local, 0
B62, 8.5, ZXXX4, 13:47, 16:35, local, 0
J63, 4.5, ZXXX5, 13:47, 16:40, local, 0
J64, 10.5, ZXXX3, 13:47, 16:00, local, 0
B65, 6.5, ZXXX3, 13:47, 16:05, local, 0
J66, 3.5, ZXXX1, 13:47, 16:10, local, 0
Y67, 4.5, ZXXX5, 13:47, 16:10, local, 0
Y68, 2.5, ZXXX1, 13:47, 16:15, local, 0
J69, 6.5, ZXXX4, 13:47, 16:05, local, 0
Y70, 2.5, ZXXX1, 13:47, 16:05, local, 0
Y71, 3.5, ZXXX1, 13:47, 16:15, local, 1
Y60, 6.0, ZXXX2, 12:59, 16:25, local, 0
B61, 6.0, ZXXX2, 12:59, 16:00, local, 0
J62, 8.5, ZXXX4, 12:59, 16:35, local, 0
B63, 4.5, ZXXX5, 12:59, 16:40, local, 0
B64, 10.5, ZXXX3, 12:59, 16:00, local, 0
B65, 6.5, ZXXX3, 12:59, 16:05, local, 0
J66, 3.5, ZXXX1, 12:59, 16:10, local, 0
Y67, 4.5, ZXXX5, 12:59, 16:10, local, 0
B68, 2.5, ZXXX1, 12:59, 16:15, local, 0
Y69, 6.5, ZXXX4, 12:59, 16:05, local, 0
Y70, 2.5, ZXXX1, 12:59, 16:05, local, 0
J71, 3.5, ZXXX1, 12:59, 16:15, local, 1
Y60, 6.0, ZXXX2, 14:08, 16:25, local, 0
B61, 6.0, ZXXX2, 14:08, 16:00, local, 0
Y62, 8.5, ZXXX4, 14:08, 16:35, local, 0
Y63, 4.5, ZXXX5, 14:08, 16:40, local, 0
Y64, 10.5, ZXXX3, 14:08, 16:00, local, 0
J65, 6.5, ZXXX3, 14:08, 16:05, local, 0
B66, 3.5, ZXXX1, 14:08, 16:10, local, 0
Y67, 4.5, ZXXX5, 14:08, 16:10, local, 0
J68, 2.5, ZXXX1, 14:08, 16:15, local, 0
Y69, 6.5, ZXXX4, 14:08, 16:05, local, 0
B70, 2.5, ZXXX1, 14:08, 16:05, local, 0
J71, 3.5, ZXXX1, 14:08, 16:15, local, 1
Y60, 6.0, ZXXX2, 15:22, 16:25, local, 0
B61, 6.0, ZXXX2, 15:22, 16:00, local, 0
B62, 8.5, ZXXX4, 15:22, 16:35, local, 0
J63, 4.5, ZXXX5, 15:22, 16:40, local, 0
Y64, 10.5, ZXXX3, 15:22, 16:00, local, 0
Y65, 6.5, ZXXX3, 15:22, 16:05, local, 0
J66, 3.5, ZXXX1, 15:22, 16:10, local, 0
B67, 4.5, ZXXX5, 15:22, 16:10, local, 0
B68, 2.5, ZXXX1, 15:22, 16:15, local, 0
J69, 6.5, ZXXX4, 15:22, 16:05, local, 0
Y70, 2.5, ZXXX1, 15:22, 16:05, local, 0
J71, 3.5, ZXXX1, 15:22, 16:15, local, 1
J11, 8.5, ZXXX4, 08:00, 11:05, local, 0
B21, 4.5, ZXXX5, 08:00, 11:05, local, 0
J31, 8.5, ZXXX5, 08:00, 11:05, local, 0
B41, 4.5, ZXXX1, 08:00, 11:05, local, 0
B13, 8.5, ZXXX4, 08:00, 11:05, local, 0
J211, 4.5, ZXXX5, 08:00, 11:05, local, 0
B311, 8.5, ZXXX5, 08:00, 11:05, local, 0
Y411, 4.5, ZXXX1, 08:00, 11:05, local, 0
B611, 6.5, ZXXX1, 08:00, 11:05, local, 0
J612, 6.5, ZXXX1, 08:00, 11:05, local, 0
Y613, 6.5, ZXXX1, 08:00, 11:05, local, 0
J615, 6.5, ZXXX1, 08:00, 11:05, local, 1
J1, 8.5, ZXXX4, 08:25, 11:05, local, 0
B2, 4.5, ZXXX5, 08:25, 11:05, local, 0
Y3, 8.5, ZXXX5, 08:25, 11:05, local, 0
Y4, 4.5, ZXXX1, 08:25, 11:05, local, 0
J6, 6.5, ZXXX1, 08:25, 11:05, local, 0
B7, 3.5, ZXXX1, 08:25, 11:05, local, 0
B8, 8.5, ZXXX4, 08:25, 11:05, local, 0
J9, 4.5, ZXXX5, 08:25, 11:05, local, 0
Y10, 8.5, ZXXX5, 08:25, 11:05, local, 0
B11, 4.5, ZXXX1, 08:25, 11:05, local, 0
B12, 6.5, ZXXX1, 08:25, 11:05, local, 0
J13, 3.5, ZXXX1, 08:25, 11:05, local, 1
J14, 6.5, ZXXX4, 09:13, 11:05, local, 0
B15, 8.5, ZXXX4, 09:13, 11:00, local, 0
B2, 4.5, ZXXX5, 09:13, 11:05, local, 0
Y3, 8.5, ZXXX5, 09:13, 11:10, local, 0
J4, 4.5, ZXXX1, 09:13, 11:15, local, 0
B5, 2.5, ZXXX1, 09:13, 11:20, local, 0
B6, 6.5, ZXXX1, 09:13, 11:25, local, 0
J7, 3.5, ZXXX1, 09:13, 11:30, local, 0
Y8, 6.5, ZXXX4, 09:13, 11:35, local, 0
Y9, 10.5, ZXXX4, 09:13, 11:15, local, 0
B10, 8.5, ZXXX3, 09:13, 11:20, local, 0
J11, 5.5, ZXXX5, 09:13, 11:25, local, 1
Y12, 7.5, ZXXX5, 10:53, 11:30, local, 0
J13, 6.0, ZXXX2, 10:53, 11:00, local, 0
J14, 8.5, ZXXX4, 10:53, 11:30, local, 0
B15, 4.5, ZXXX5, 10:53, 11:40, local, 0
B16, 10.5, ZXXX3, 10:53, 12:00, local, 0
B17, 6.5, ZXXX3, 10:53, 12:05, local, 0
Y18, 3.5, ZXXX1, 10:53, 12:10, local, 0
J19, 4.5, ZXXX5, 10:53, 12:10, local, 0
B20, 2.5, ZXXX1, 10:53, 12:15, local, 0
J21, 6.5, ZXXX4, 10:53, 12:05, local, 0
Y22, 2.5, ZXXX1, 10:53, 12:05, local, 0
J23, 3.5, ZXXX1, 10:53, 12:15, local, 1
Y24, 6.0, ZXXX2, 09:36, 12:25, local, 0
J25, 6.0, ZXXX2, 09:36, 12:00, local, 0
Y26, 8.5, ZXXX4, 09:36, 12:35, local, 0
Y27, 4.5, ZXXX5, 09:36, 12:40, local, 0
B28, 10.5, ZXXX3, 09:36, 12:00, local, 0
J29, 6.5, ZXXX3, 09:36, 12:05, local, 0
Y30, 3.5, ZXXX1, 09:36, 13:10, local, 0
J31, 4.5, ZXXX5, 09:36, 13:10, local, 0
B32, 2.5, ZXXX1, 09:36, 13:15, local, 0
J33, 6.5, ZXXX4, 09:36, 13:05, local, 0
Y34, 2.5, ZXXX1, 09:36, 13:05, local, 0
J35, 3.5, ZXXX1, 09:36, 13:15, local, 1
Y36, 6.0, ZXXX2, 11:11, 13:25, local, 0
J37, 6.0, ZXXX2, 11:11, 13:00, local, 0
B38, 8.5, ZXXX4, 11:11, 13:35, local, 0
Y39, 4.5, ZXXX5, 11:11, 13:40, local, 0
J40, 10.5, ZXXX3, 11:11, 13:00, local, 0
B41, 6.5, ZXXX3, 11:11, 13:05, local, 0
Y42, 3.5, ZXXX1, 11:11, 13:11, local, 0
J43, 4.5, ZXXX5, 11:11, 13:11, local, 0
B44, 2.5, ZXXX1, 11:11, 13:15, local, 0
J45, 6.5, ZXXX4, 11:11, 13:05, local, 0
Y46, 2.5, ZXXX1, 11:11, 16:05, local, 0
B47, 3.5, ZXXX1, 11:11, 16:15, local, 1
J48, 6.0, ZXXX2, 12:23, 16:25, local, 0
J49, 6.0, ZXXX2, 12:23, 16:00, local, 0
J50, 8.5, ZXXX4, 12:23, 16:23, local, 0
B51, 4.5, ZXXX5, 12:23, 16:40, local, 0
B52, 10.5, ZXXX3, 12:23, 16:00, local, 0
B53, 6.5, ZXXX3, 12:23, 16:05, local, 0
Y54, 3.5, ZXXX1, 12:23, 16:10, local, 0
J55, 4.5, ZXXX5, 12:23, 16:10, local, 0
Y56, 2.5, ZXXX1, 12:23, 16:15, local, 0
J57, 6.5, ZXXX4, 12:23, 16:05, local, 0
Y58, 2.5, ZXXX1, 12:23, 16:05, local, 0
Y59, 3.5, ZXXX1, 12:23, 16:15, local, 1
J60, 6.0, ZXXX2, 12:46, 16:25, local, 0
J61, 6.0, ZXXX2, 12:46, 16:00, local, 0
Y62, 8.5, ZXXX4, 12:46, 16:35, local, 0
B63, 4.5, ZXXX5, 12:46, 16:40, local, 0
J64, 10.5, ZXXX3, 12:46, 16:00, local, 0
B65, 6.5, ZXXX3, 12:46, 16:05, local, 0
J66, 3.5, ZXXX1, 12:46, 16:12, local, 0
Y67, 4.5, ZXXX5, 12:46, 16:12, local, 0
B68, 2.5, ZXXX1, 12:46, 16:15, local, 0
B26, 6.5, ZXXX4, 12:46, 16:05, local, 0
Y70, 2.5, ZXXX1, 12:46, 16:05, local, 0
B18, 3.5, ZXXX1, 12:46, 16:15, local, 1
J60, 6.0, ZXXX2, 13:02, 16:25, local, 0
J61, 6.0, ZXXX2, 13:02, 16:00, local, 0
B62, 8.5, ZXXX4, 13:02, 16:35, local, 0
Y63, 4.5, ZXXX5, 13:02, 16:40, local, 0
B64, 10.5, ZXXX3, 13:02, 16:00, local, 0
Y65, 6.5, ZXXX3, 13:02, 16:05, local, 0
J66, 3.5, ZXXX1, 13:02, 16:10, local, 0
B67, 4.5, ZXXX5, 13:02, 16:10, local, 0
B68, 2.5, ZXXX1, 13:02, 16:15, local, 0
J69, 6.5, ZXXX4, 13:02, 16:05, local, 0
Y70, 2.5, ZXXX1, 13:02, 16:05, local, 0
J71, 3.5, ZXXX1, 13:02, 16:15, local, 1


